"Runder","Tid","Samlet tid","Avstand","Gjennomsnittlig tempo","Gjennomsnittlig puls","Makspuls","Stigning","Høydereduksjon","Gjennomsnittlig frekvens for løping","Gjennomsnittlig skrittlengde","Kalorier","Gjennomsnittlig temperatur","Beste tempo","Maksimal frekvens for løping","Tid i bevegelse","Gjennomsnittlig bevegelsestempo"
"1","3:30.9","3:30.9","1.00","3:31","163","177","3","1","171","1.66","53","32.0","3:18","179","3:29","3:29"
"2","0:58.5","4:29.4","0.07","14:54","150","174","0","0","57","1.19","13","31.0","3:28","174","0:58","14:47"
"3","3:30.9","8:00.3","1.02","3:28","170","178","1","1","169","1.71","56","30.0","3:21","182","3:30.9","3:28"
"4","0:58.0","8:58.3","0.07","14:48","159","176","0","0","42","1.62","14","30.0","3:25","172","0:33","8:26"
"5","3:30.3","12:29","1.01","3:27","170","179","1","2","170","1.70","56","30.0","3:14","182","3:30","3:27"
"6","0:59.2","13:28","0.06","16:17","157","177","1","0","63","0.98","14","30.0","3:21","170","0:54","14:51"
"7","3:29.5","16:57","1.01","3:27","172","179","0","0","169","1.72","56","30.0","3:14","176","3:29","3:26"
"8","0:59.5","17:57","0.04","22:39","161","178","0","1","32","1.39","14","30.0","3:26","168","0:12","4:34"
"9","3:28.3","21:25","1.02","3:25","172","180","1","1","175","1.68","55","30.0","3:11","187","3:28.3","3:25"
"10","1:00.4","22:25","0.06","18:13","160","179","0","0","50","1.10","14","30.0","3:26","174","0:45","13:35"
"11","3:28.7","25:54","1.01","3:26","174","180","3","2","175","1.66","55","30.0","3:01","218","3:28.7","3:26"
"12","1:31.0","27:25","0.04","35:05","152","180","0","0","32","0.90","17","30.0","3:27","173","0:14","5:24"
"13","3:31.6","30:57","1.01","3:30","173","180","2","3","174","1.64","57","30.0","3:15","187","3:31","3:30"
"14","0:58.9","31:56","0.08","12:39","162","179","1","1","83","0.95","14","30.0","3:29","172","0:58.9","12:39"
"15","3:31.4","35:27","1.02","3:28","173","181","2","1","172","1.67","54","30.0","3:15","180","3:31.4","3:28"
"16","0:59.4","36:26","0.06","17:17","164","179","0","2","45","1.30","14","30.0","3:26","168","0:55","16:00"
"17","3:32.2","39:59","1.00","3:31","173","181","1","0","174","1.63","57","30.0","3:19","219","3:32","3:31"
"18","1:00.5","40:59","0.07","15:23","162","179","1","2","61","1.07","13","30.0","3:31","170","1:00.5","15:23"
"19","3:32.6","44:32","1.03","3:27","174","181","2","1","167","1.73","56","30.0","3:10","177","3:32.6","3:27"
"20","7:47.8","52:20","0.14","57:40","129","177","0","2","8","2.06","30","31.0","3:25","174","0:26","3:13"
"21","10:07","1:02:27","2.00","5:03","149","156","3","0","165","1.20","103","30.0","4:38","172","10:07","5:03"
"Sammendrag","1:02:27","1:02:27","12.79","4:53","160","181","24","22","132","1.57","815","30.3","3:01","219","52:07","4:04"